User Name,Application Time,Number of Offers,Number of Waiting List,Number of Rejections
APRESH8,5,0,0,0
APRESH8,5,0,0,0
APRESH8,10,0,0,0
APRESH8,10,0,0,0
APRESH8,10,0,0,0
APRESH8,14,0,0,0
APRESH8,17,0,0,0
ALEIGH,18,0,0,0
ASCU,19,0,0,0
ASCU,19,0,0,0
ASCU,20,0,0,0
APRESH8,24,0,0,0
AmyF5985,24,0,0,0
APRESH8,27,0,0,0
ALEIGH,28,0,0,0
ALEIGH,28,0,0,0
ALEIGH,28,0,0,0
ALEIGH,28,0,0,0
ALEIGH,28,0,0,0
ALEIGH,28,0,0,0
ADMITme,29,0,0,0
ADMITme,29,0,0,0
ADMITme,29,0,0,0
549grove,30,0,0,0
549grove,30,0,0,0
ADMITme,30,0,0,0
ADMITme,30,0,0,0
ADMITme,30,0,0,0
ADMITme,30,0,0,0
ALEIGH,30,0,0,0
APRESH8,31,0,0,0
549grove,32,0,0,0
ADMITme,35,0,0,0
ADMITme,37,0,0,0
ADMITme,37,0,0,0
ADMITme,39,0,0,0
ADMITme,40,0,0,0
ADMITme,41,0,0,0
ADMITme,41,0,0,0
ASCU,41,0,0,0
ADMITme,42,0,0,0
ADMITme,44,0,0,0
AmyF5985,44,0,0,0
AmyF5985,44,0,0,0
ADMITme,46,0,0,0
29yoengteacher,52,0,0,0
29yoengteacher,52,0,0,0
29yoengteacher,52,0,0,0
29yoengteacher,52,0,0,0
29yoengteacher,52,0,0,0
29yoengteacher,52,0,0,0
29yoengteacher,52,0,0,0
29yoengteacher,52,0,0,0
AmberRen,52,0,0,0
AmberRen,53,0,0,0
ADMITme,59,0,0,0
AlmaMatters,60,0,0,0
AlmaMatters,60,0,0,0
AlmaMatters,60,0,0,0
AlmaMatters,60,0,0,0
AlmaMatters,60,0,0,0
AlmaMatters,60,0,0,0
ARC524,61,0,0,0
Aeternitas,65,0,0,0
Aeternitas,65,0,0,0
Aeternitas,65,0,0,0
Aeternitas,65,0,0,0
Aeternitas,65,0,0,0
Aeternitas,65,0,0,0
AmberRen,66,0,0,0
AmberRen,66,0,0,0
AmberRen,66,0,0,0
Aeternitas,68,0,0,0
AJStyles,69,0,0,0
Aeternitas,69,0,0,0
Aeternitas,71,0,0,0
ADMITme,74,0,0,0
AJStyles,75,0,0,0
AmyF5985,75,0,0,0
AJStyles,76,0,0,0
ARC524,76,0,0,0
AmberRen,76,0,0,0
AmberRen,76,0,0,0
AmberRen,76,0,0,0
Acrossthepond,82,0,0,0
1Lwannabe,86,0,0,0
1Lwannabe,86,0,0,0
1Lwannabe,86,0,0,0
1Lwannabe,86,0,0,0
1Lwannabe,86,0,0,0
1Lwannabe,86,0,0,0
1Lwannabe,86,0,0,0
ADMITme,90,2,0,0
Acrossthepond,90,0,0,0
AlmaMatters,90,0,0,0
AllroysRevenge,93,0,0,0
AllroysRevenge,93,0,0,0
AllroysRevenge,93,0,0,0
AllroysRevenge,93,0,0,0
AllroysRevenge,95,0,0,0
AllroysRevenge,96,0,0,0
ARC524,100,0,0,0
1Lwannabe,102,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
1Activist,112,0,0,0
4cat100,112,0,0,0
AllroysRevenge,112,0,0,0
AllroysRevenge,112,0,0,0
AllroysRevenge,112,0,0,0
AllroysRevenge,112,0,0,0
AllroysRevenge,112,0,0,0
4cat100,114,0,0,0
4cat100,114,0,0,0
4cat100,118,0,0,0
AmyF5985,118,2,0,0
AmyF5985,118,2,0,0
4cat100,119,0,0,0
4cat100,119,0,0,0
4cat100,120,0,0,0
4cat100,120,0,0,0
ADMITme,120,4,0,0
ADMITme,120,4,0,0
AllroysRevenge,121,0,0,0
AllroysRevenge,123,0,0,0
4cat100,125,0,0,0
AllroysRevenge,126,0,0,0
AllroysRevenge,126,0,0,0
4cat100,128,0,0,0
718281828459045,128,0,0,0
4cat100,129,0,0,0
4cat100,130,0,0,0
AlmaMatters,130,5,0,0
AmyF5985,130,2,0,0
AmyF5985,130,2,0,0
07lawgirl,132,0,0,0
718281828459045,136,0,0,0
6motummyache,140,0,0,0
Allie,140,0,0,0
ANDY,141,0,0,0
ANDY,141,0,0,0
ANDY,141,0,0,0
ANDY,141,0,0,0
ANDY,141,0,0,0
718281828459045,144,0,0,0
07lawgirl,146,0,0,0
07lawgirl,146,0,0,0
718281828459045,146,0,0,0
07lawgirl,147,0,0,0
718281828459045,149,0,0,0
07lawgirl,151,1,0,0
718281828459045,151,0,0,0
AlmaMatters,151,5,0,2
07lawgirl,152,1,0,0
07lawgirl,152,1,0,0
6motummyache,153,0,0,0
AlmaMatters,153,5,0,2
4cat100,155,2,0,0
AllroysRevenge,173,2,0,2
Allie,178,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AshleyF,181,0,0,0
AnnArborsFinest,185,0,0,0
AnnArborsFinest,188,0,0,0
